PC-Miler Practical Mileage,Spot Avg Linehaul Rate,Spot Low Linehaul Rate,Spot High Linehaul Rate,Spot Fuel Surcharge,Spot Time Frame,Spot Origin Geo Expansion,Spot Destination Geo Expansion,Spot # of Companies,Spot # of Reports,Spot Your Own Avg Linehaul Rate,Spot Your Own # of Reports,Spot Error,Orig City,Orig State,Orig Postal Code,Dest City,Dest State,Dest Postal Code,Truck Type,ID
1441,1.47,1.45,1.51,0.27,15,20,20,,,,,,HOUSTON,TX,77001,BALTIMORE,MD,21117,V,
579,2.22,2.01,2.44,0.27,15,20,20,,,,,,INDIANAPOLIS,IN,46201,BALTIMORE,MD,21117,V,
764,1.54,1.39,1.62,0.27,15,20,30,,,,,,JACKSONVILLE,FL,32099,BALTIMORE,MD,21117,V,
1062,1.77,1.7,1.8,0.27,15,20,20,,,,,,KANSAS CITY,MO,64101,BALTIMORE,MD,21117,V,
1046,1.79,1.54,1.97,0.27,15,20,20,,,,,,LITTLE ROCK,AR,72201,BALTIMORE,MD,21117,V,
2654,1.37,1.16,1.45,0.27,15,20,20,,,,,,LOS ANGELES,CA,90005,BALTIMORE,MD,21117,V,
607,2.5,2.33,2.78,0.27,15,20,20,,,,,,LOUISVILLE,KY,40201,BALTIMORE,MD,21117,V,
906,1.99,1.85,2.12,0.27,15,20,20,,,,,,MEMPHIS,TN,37501,BALTIMORE,MD,21117,V,
1161,0.98,0.87,1.01,0.27,15,20,20,,,,,,MIAMI,FL,33101,BALTIMORE,MD,21117,V,
792,1.96,1.77,2.44,0.27,15,20,20,,,,,,MILWAUKEE,WI,53202,BALTIMORE,MD,21117,V,
1113,1.86,1.7,1.96,0.27,30,20,20,,,,,,MINNEAPOLIS,MN,55401,BALTIMORE,MD,21117,V,
1000,1.88,1.76,1.93,0.27,30,20,30,,,,,,MOBILE,AL,36601,BALTIMORE,MD,21117,V,
697,2.08,1.94,2.21,0.27,15,10,20,,,,,,NASHVILLE,TN,37115,BALTIMORE,MD,21117,V,
1117,1.6,1.53,1.73,0.27,15,20,20,,,,,,NEW ORLEANS,LA,70112,BALTIMORE,MD,21117,V,
189,2.76,2.39,2.95,0.27,15,20,20,,,,,,NEWARK,NJ,7101,BALTIMORE,MD,21117,V,
1327,1.6,1.43,1.76,0.27,15,20,30,,,,,,OKLAHOMA CITY,OK,73101,BALTIMORE,MD,21117,V,
796,2.37,2.1,2.48,0.27,15,20,20,,,,,,PEORIA,IL,61601,BALTIMORE,MD,21117,V,
107,4.86,3.95,5.34,0.27,15,20,20,,,,,,PHILADELPHIA,PA,19092,BALTIMORE,MD,21117,V,
246,2.92,2.18,3.23,0.27,15,20,20,,,,,,PITTSBURGH,PA,15201,BALTIMORE,MD,21117,V,
2847,1.17,0.92,1.43,0.27,30,30,40,,,,,,PORTLAND,WA,97201,BALTIMORE,MD,21117,V,
157,4.05,3.23,4.46,0.27,15,10,20,,,,,,RICHMOND,VA,23218,BALTIMORE,MD,21117,V,
2724,1.29,1.25,1.32,0.27,15,20,20,,,,,,SACRAMENTO,CA,94203,BALTIMORE,MD,21117,V,
2124,1.18,1.12,1.21,0.27,30,20,30,,,,,,SALT LAKE CITY,UT,84101,BALTIMORE,MD,21117,V,
1633,1.49,1.41,1.56,0.27,30,20,20,,,,,,SAN ANTONIO,TX,78201,BALTIMORE,MD,21117,V,
2685,1.55,1.15,2.09,0.27,30,20,20,,,,,,SAN DIEGO,CA,92093,BALTIMORE,MD,21117,V,
2811,1.46,1.29,1.52,0.27,30,20,20,,,,,,SAN FRANCISCO,CA,94101,BALTIMORE,MD,21117,V,
634,2.06,1.81,2.18,0.27,15,20,20,,,,,,SAVANNAH,GA,31401,BALTIMORE,MD,21117,V,
2768,1.05,0.9,1.09,0.27,30,20,20,,,,,,SEATTLE,WA,98101,BALTIMORE,MD,21117,V,
825,2.22,2.18,2.28,0.27,15,10,20,,,,,,ST. LOUIS,MO,63101,BALTIMORE,MD,21117,V,
992,1.11,0.95,1.3,0.27,15,20,20,,,,,,TAMPA,FL,33601,BALTIMORE,MD,21117,V,
471,2.61,2.45,2.78,0.27,15,20,20,,,,,,TOLEDO,OH,43601,BALTIMORE,MD,21117,V,
1220,1.49,1.41,1.5,0.27,30,20,30,,,,,,TULSA,OK,74101,BALTIMORE,MD,21117,V,
244,2.43,2.16,2.99,0.27,15,20,20,,,,,,NORFOLK,VA,23501,BALTIMORE,MD,21117,V,
46,10.98,8.11,12.05,0.27,15,20,20,,,,,,WASHINGTON,DC,20001,BALTIMORE,MD,21117,V,
1256,1.7,1.36,1.96,0.27,30,20,20,,,,,,WICHITA,KS,67201,BALTIMORE,MD,21117,V,
374,1.29,1.1,1.44,0.27,15,20,20,,,,,,WORCHESTER,MA,1601,BALTIMORE,MD,21117,V,
147,2.92,2.66,3.14,0.27,15,10,20,,,,,,ATLANTA,GA,30301,BIRMINGHAM,AL,35201,V,
775,1.13,1.12,1.2,0.27,15,20,20,,,,,,BALTIMORE,MD,21117,BIRMINGHAM,AL,35201,V,
1,325.55,244.78,346.49,0.27,15,20,20,,,,,,BIRMINGHAM,AL,35201,BIRMINGHAM,AL,35201,V,
1178,1,0.87,1.06,0.27,15,20,20,,,,,,BOSTON,MA,2108,BIRMINGHAM,AL,35201,V,
907,1.17,1.05,1.25,0.27,15,20,20,,,,,,BUFFALO,NY,14201,BIRMINGHAM,AL,35201,V,
147,2.86,2.43,3.16,0.27,15,20,20,,,,,,CHATTANOOGA,TN,37401,BIRMINGHAM,AL,35201,V,
662,1.61,1.4,2.01,0.27,15,20,20,,,,,,CHICAGO,IL,60290,BIRMINGHAM,AL,35201,V,
469,1.59,1.4,1.62,0.27,15,20,20,,,,,,CINCINATTI,OH,45201,BIRMINGHAM,AL,35201,V,
720,1.34,1.12,1.43,0.27,15,20,20,,,,,,CLEVELAND,OH,44101,BIRMINGHAM,AL,35201,V,
570,1.52,1.43,1.57,0.27,15,20,20,,,,,,COLUMBUS,OH,43216,BIRMINGHAM,AL,35201,V,
641,1.17,0.94,1.27,0.27,15,20,20,,,,,,DALLAS,TX,75260,BIRMINGHAM,AL,35201,V,
735,1.54,1.52,1.63,0.27,15,20,20,,,,,,DAVENPORT,IA,52801,BIRMINGHAM,AL,35201,V,
1325,1.04,0.84,1.41,0.27,15,20,20,,,,,,DENVER,CO,80202,BIRMINGHAM,AL,35201,V,
725,1.42,1.11,1.52,0.27,15,20,20,,,,,,DETROIT,MI,48201,BIRMINGHAM,AL,35201,V,
667,1.2,1.01,1.27,0.27,15,10,20,,,,,,HOUSTON,TX,77001,BIRMINGHAM,AL,35201,V,
479,1.54,1.34,1.54,0.27,15,20,20,,,,,,INDIANAPOLIS,IN,46201,BIRMINGHAM,AL,35201,V,
458,1.06,0.7,1.16,0.27,15,10,10,,,,,,JACKSONVILLE,FL,32099,BIRMINGHAM,AL,35201,V,
745,1.38,1.17,1.39,0.27,15,20,20,,,,,,KANSAS CITY,MO,64101,BIRMINGHAM,AL,35201,V,
372,1.85,1.74,2.08,0.27,15,20,20,,,,,,LITTLE ROCK,AR,72201,BIRMINGHAM,AL,35201,V,
2027,1.24,1.13,1.35,0.27,15,20,20,,,,,,LOS ANGELES,CA,90005,BIRMINGHAM,AL,35201,V,
366,1.77,1.44,1.93,0.27,15,10,20,,,,,,LOUISVILLE,KY,40201,BIRMINGHAM,AL,35201,V,
234,2.14,1.84,2.35,0.27,15,10,20,,,,,,MEMPHIS,TN,37501,BIRMINGHAM,AL,35201,V,
777,0.76,0.66,0.76,0.27,15,20,20,,,,,,MIAMI,FL,33101,BIRMINGHAM,AL,35201,V,
761,1.51,1.36,1.72,0.27,15,20,20,,,,,,MILWAUKEE,WI,53202,BIRMINGHAM,AL,35201,V,
1073,1.4,1.29,1.55,0.27,15,20,20,,,,,,MINNEAPOLIS,MN,55401,BIRMINGHAM,AL,35201,V,
257,2.36,2.34,2.42,0.27,15,10,20,,,,,,MOBILE,AL,36601,BIRMINGHAM,AL,35201,V,
202,2.7,2.17,3.1,0.27,15,20,20,,,,,,NASHVILLE,TN,37115,BIRMINGHAM,AL,35201,V,
343,1.64,1.43,1.81,0.27,15,10,20,,,,,,NEW ORLEANS,LA,70112,BIRMINGHAM,AL,35201,V,
951,0.99,0.89,1.01,0.27,15,20,20,,,,,,NEWARK,NJ,7101,BIRMINGHAM,AL,35201,V,
701,1.27,1.04,1.42,0.27,30,20,20,,,,,,OKLAHOMA CITY,OK,73101,BIRMINGHAM,AL,35201,V,
636,1.59,1.42,1.7,0.27,15,20,20,,,,,,PEORIA,IL,61601,BIRMINGHAM,AL,35201,V,
877,1.13,0.89,1.29,0.27,15,20,20,,,,,,PHILADELPHIA,PA,19092,BIRMINGHAM,AL,35201,V,
752,1.27,1.14,1.43,0.27,15,20,20,,,,,,PITTSBURGH,PA,15201,BIRMINGHAM,AL,35201,V,
2541,1.1,1.04,1.32,0.27,15,30,40,,,,,,PORTLAND,WA,97201,BIRMINGHAM,AL,35201,V,
681,1.35,1.14,1.44,0.27,30,20,20,,,,,,RICHMOND,VA,23218,BIRMINGHAM,AL,35201,V,
2321,1.33,1.18,1.44,0.27,15,30,40,,,,,,SACRAMENTO,CA,94203,BIRMINGHAM,AL,35201,V,
1818,1.06,0.98,1.21,0.27,15,30,40,,,,,,SALT LAKE CITY,UT,84101,BIRMINGHAM,AL,35201,V,
862,1.51,1.13,1.76,0.27,15,20,30,,,,,,SAN ANTONIO,TX,78201,BIRMINGHAM,AL,35201,V,
2005,1.3,1.24,1.58,0.27,15,30,30,,,,,,SAN DIEGO,CA,92093,BIRMINGHAM,AL,35201,V,
2325,1.33,1.18,1.43,0.27,15,30,40,,,,,,SAN FRANCISCO,CA,94101,BIRMINGHAM,AL,35201,V,
395,1.67,1.5,1.93,0.27,15,10,20,,,,,,SAVANNAH,GA,31401,BIRMINGHAM,AL,35201,V,
2616,0.98,0.94,1.01,0.27,15,30,40,,,,,,SEATTLE,WA,98101,BIRMINGHAM,AL,35201,V,
502,1.72,1.48,1.92,0.27,15,20,20,,,,,,ST. LOUIS,MO,63101,BIRMINGHAM,AL,35201,V,
569,0.75,0.72,0.77,0.27,15,10,20,,,,,,TAMPA,FL,33601,BIRMINGHAM,AL,35201,V,
666,1.45,1.3,1.53,0.27,15,20,20,,,,,,TOLEDO,OH,43601,BIRMINGHAM,AL,35201,V,
637,1.46,1.34,1.62,0.27,15,20,20,,,,,,TULSA,OK,74101,BIRMINGHAM,AL,35201,V,
713,1.33,1.13,1.34,0.27,15,20,20,,,,,,NORFOLK,VA,23501,BIRMINGHAM,AL,35201,V,
744,1.12,0.93,1.39,0.27,30,20,30,,,,,,WASHINGTON,DC,20001,BIRMINGHAM,AL,35201,V,
813,1.48,1.36,1.63,0.27,30,20,20,,,,,,WICHITA,KS,67201,BIRMINGHAM,AL,35201,V,
1138,1,0.87,1.06,0.27,15,20,20,,,,,,WORCHESTER,MA,1601,BIRMINGHAM,AL,35201,V,
1097,1.96,1.77,2.11,0.27,15,20,20,,,,,,ATLANTA,GA,30301,BOSTON,MA,2108,V,
413,3.17,2.9,3.44,0.27,15,20,20,,,,,,BALTIMORE,MD,21117,BOSTON,MA,2108,V,
1178,1.98,1.83,2.11,0.27,15,20,20,,,,,,BIRMINGHAM,AL,35201,BOSTON,MA,2108,V,
1,365.39,332.65,484.73,0.27,15,20,20,,,,,,BOSTON,MA,2108,BOSTON,MA,2108,V,
458,2.69,2.43,2.77,0.27,15,20,20,,,,,,BUFFALO,NY,14201,BOSTON,MA,2108,V,
1033,2.01,1.84,2.18,0.27,15,20,20,,,,,,CHATTANOOGA,TN,37401,BOSTON,MA,2108,V,
990,2.23,2.19,2.43,0.27,15,20,20,,,,,,CHICAGO,IL,60290,BOSTON,MA,2108,V,
849,2.71,2.18,3.88,0.27,15,20,20,,,,,,CINCINATTI,OH,45201,BOSTON,MA,2108,V,
663,2.42,2.15,2.67,0.27,15,20,20,,,,,,CLEVELAND,OH,44101,BOSTON,MA,2108,V,
763,2.46,2.16,2.55,0.27,15,20,20,,,,,,COLUMBUS,OH,43216,BOSTON,MA,2108,V,
1764,1.43,1.36,1.52,0.27,15,20,20,,,,,,DALLAS,TX,75260,BOSTON,MA,2108,V,
1143,2.2,2.03,2.3,0.27,30,20,20,,,,,,DAVENPORT,IA,52801,BOSTON,MA,2108,V,
1980,1.46,1.42,1.59,0.27,15,20,30,,,,,,DENVER,CO,80202,BOSTON,MA,2108,V,
712,2.55,2.29,2.9,0.27,15,20,20,,,,,,DETROIT,MI,48201,BOSTON,MA,2108,V,
1843,1.46,1.34,1.59,0.27,15,20,20,,,,,,HOUSTON,TX,77001,BOSTON,MA,2108,V,
936,2.37,2.14,2.75,0.27,15,20,20,,,,,,INDIANAPOLIS,IN,46201,BOSTON,MA,2108,V,
1159,1.74,1.53,1.76,0.27,15,20,30,,,,,,JACKSONVILLE,FL,32099,BOSTON,MA,2108,V,
1420,1.76,1.7,1.77,0.27,15,20,30,,,,,,KANSAS CITY,MO,64101,BOSTON,MA,2108,V,
1448,2.12,1.59,2.13,0.27,30,20,20,,,,,,LITTLE ROCK,AR,72201,BOSTON,MA,2108,V,
3011,1.43,1.27,1.6,0.27,15,20,20,,,,,,LOS ANGELES,CA,90005,BOSTON,MA,2108,V,
953,2.33,2.13,2.55,0.27,15,20,20,,,,,,LOUISVILLE,KY,40201,BOSTON,MA,2108,V,
1308,1.97,1.73,1.99,0.27,15,20,20,,,,,,MEMPHIS,TN,37501,BOSTON,MA,2108,V,
1556,1.33,1.19,1.41,0.27,30,20,20,,,,,,MIAMI,FL,33101,BOSTON,MA,2108,V,
1084,2.3,2.08,2.53,0.27,15,20,20,,,,,,MILWAUKEE,WI,53202,BOSTON,MA,2108,V,
1405,1.8,1.67,1.84,0.27,15,20,20,,,,,,MINNEAPOLIS,MN,55401,BOSTON,MA,2108,V,
1427,1.59,1.11,1.91,0.27,30,20,20,,,,,,MOBILE,AL,36601,BOSTON,MA,2108,V,
1100,2.08,1.93,2.23,0.27,15,10,20,,,,,,NASHVILLE,TN,37115,BOSTON,MA,2108,V,
1520,1.81,1.57,2.22,0.27,15,20,20,,,,,,NEW ORLEANS,LA,70112,BOSTON,MA,2108,V,
227,3.59,3.42,3.94,0.27,15,10,20,,,,,,NEWARK,NJ,7101,BOSTON,MA,2108,V,
1685,1.73,1.7,1.78,0.27,15,20,30,,,,,,OKLAHOMA CITY,OK,73101,BOSTON,MA,2108,V,
1153,2.11,1.97,2.2,0.27,30,20,20,,,,,,PEORIA,IL,61601,BOSTON,MA,2108,V,
309,3.02,2.86,3.34,0.27,15,10,20,,,,,,PHILADELPHIA,PA,19092,BOSTON,MA,2108,V,
572,2.62,2.43,2.76,0.27,15,20,20,,,,,,PITTSBURGH,PA,15201,BOSTON,MA,2108,V,
3096,1.15,1,1.17,0.27,30,30,40,,,,,,PORTLAND,WA,97201,BOSTON,MA,2108,V,
555,2.82,2.51,3.2,0.27,15,20,20,,,,,,RICHMOND,VA,23218,BOSTON,MA,2108,V,
3017,1.49,1.42,1.65,0.27,15,20,20,,,,,,SACRAMENTO,CA,94203,BOSTON,MA,2108,V,
2373,1.26,1.11,1.43,0.27,30,30,30,,,,,,SALT LAKE CITY,UT,84101,BOSTON,MA,2108,V,
2036,1.36,1.31,1.46,0.27,15,30,30,,,,,,SAN ANTONIO,TX,78201,BOSTON,MA,2108,V,
3042,1.74,1.72,1.75,0.27,15,20,20,,,,,,SAN DIEGO,CA,92093,BOSTON,MA,2108,V,
3103,1.67,1.48,1.78,0.27,15,20,20,,,,,,SAN FRANCISCO,CA,94101,BOSTON,MA,2108,V,
1028,1.88,1.37,2.11,0.27,15,20,30,,,,,,SAVANNAH,GA,31401,BOSTON,MA,2108,V,
3060,1.23,1.05,1.31,0.27,30,20,30,,,,,,SEATTLE,WA,98101,BOSTON,MA,2108,V,
1184,2.14,1.76,2.39,0.27,15,20,20,,,,,,ST. LOUIS,MO,63101,BOSTON,MA,2108,V,
1386,1.14,0.59,1.56,0.27,15,20,20,,,,,,TAMPA,FL,33601,BOSTON,MA,2108,V,
763,2.36,2.23,2.46,0.27,15,20,20,,,,,,TOLEDO,OH,43601,BOSTON,MA,2108,V,
1579,1.85,1.73,1.95,0.27,15,30,30,,,,,,TULSA,OK,74101,BOSTON,MA,2108,V,
571,2.81,2.52,2.95,0.27,15,20,20,,,,,,NORFOLK,VA,23501,BOSTON,MA,2108,V,
441,3.14,2.78,3.29,0.27,30,20,20,,,,,,WASHINGTON,DC,20001,BOSTON,MA,2108,V,
1614,1.81,1.74,1.87,0.27,30,30,40,,,,,,WICHITA,KS,67201,BOSTON,MA,2108,V,
43,8.5,7.74,11.27,0.27,15,20,20,,,,,,WORCHESTER,MA,1601,BOSTON,MA,2108,V,
904,1.96,1.59,2.29,0.27,15,20,20,,,,,,ATLANTA,GA,30301,BUFFALO,NY,14201,V,
362,2.38,2.08,2.61,0.27,15,20,20,,,,,,BALTIMORE,MD,21117,BUFFALO,NY,14201,V,
907,2.27,2.04,2.35,0.27,30,20,30,,,,,,BIRMINGHAM,AL,35201,BUFFALO,NY,14201,V,
458,1.22,1,1.31,0.27,15,20,20,,,,,,BOSTON,MA,2108,BUFFALO,NY,14201,V,
1,357.44,249.72,357.45,0.27,15,20,20,,,,,,BUFFALO,NY,14201,BUFFALO,NY,14201,V,
803,2.34,2.21,3.02,0.27,15,20,20,,,,,,CHATTANOOGA,TN,37401,BUFFALO,NY,14201,V,
543,2.21,2.01,2.33,0.27,15,20,20,,,,,,CHICAGO,IL,60290,BUFFALO,NY,14201,V,
440,2.28,2.05,2.44,0.27,15,20,20,,,,,,CINCINATTI,OH,45201,BUFFALO,NY,14201,V,
194,3.57,2.39,4.32,0.27,15,20,20,,,,,,CLEVELAND,OH,44101,BUFFALO,NY,14201,V,
330,2.59,2.4,2.72,0.27,15,20,20,,,,,,COLUMBUS,OH,43216,BUFFALO,NY,14201,V,
1377,1.45,1.38,1.56,0.27,15,20,30,,,,,,DALLAS,TX,75260,BUFFALO,NY,14201,V,
694,1.95,1.58,2.21,0.27,15,20,30,,,,,,DAVENPORT,IA,52801,BUFFALO,NY,14201,V,
1531,1.21,1.06,1.36,0.27,15,30,40,,,,,,DENVER,CO,80202,BUFFALO,NY,14201,V,
259,3.05,2.76,3.19,0.27,15,20,30,,,,,,DETROIT,MI,48201,BUFFALO,NY,14201,V,
1497,1.5,1.13,1.51,0.27,15,20,20,,,,,,HOUSTON,TX,77001,BUFFALO,NY,14201,V,
503,2,1.37,2.19,0.27,15,20,20,,,,,,INDIANAPOLIS,IN,46201,BUFFALO,NY,14201,V,
1041,1.51,1.04,1.68,0.27,15,20,30,,,,,,JACKSONVILLE,FL,32099,BUFFALO,NY,14201,V,
987,1.75,1.65,1.81,0.27,15,20,30,,,,,,KANSAS CITY,MO,64101,BUFFALO,NY,14201,V,
1062,1.87,1.74,2.05,0.27,15,30,40,,,,,,LITTLE ROCK,AR,72201,BUFFALO,NY,14201,V,
2542,1.29,1.2,1.39,0.27,30,20,20,,,,,,LOS ANGELES,CA,90005,BUFFALO,NY,14201,V,
543,1.95,1.58,2.36,0.27,30,20,20,,,,,,LOUISVILLE,KY,40201,BUFFALO,NY,14201,V,
922,2.06,1.69,2.18,0.27,30,20,20,,,,,,MEMPHIS,TN,37501,BUFFALO,NY,14201,V,
